hangul_word,English_translation,hanja_word_with_x,hangul_hanja_tuple,hangul_hanja_char_tuple,hangul_seq,hanja_seq,hangul_hanja_tuple_num_parts,hangul_hanja_char_tuple_rank_tuple,hangul_hanja_char_tuple_rank
청바지,jeans,X,"('청바지', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
지우개,eraser,X,"('지우개', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
오렌지,orange,X,"('오렌지', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
아버지,father,X,"('아버지', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
바지,trousers pants,X,"('바지', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
만지다,to touch,X,"('만지다', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
넘어지다,fall down,X,"('넘어지다', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
그렇지만,but,X,"('그렇지만', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
시험,test,試驗,"('시험', '試驗')","('시', '試')",시,試,15,"(15, ('시', '試'))",417
시계,watch / clock,時計,"('시계', '時計')","('시', '時')",시,時,15,"(15, ('시', '時'))",416
시간표,time table,時間表,"('시간표', '時間表')","('시', '時')",시,時,15,"(15, ('시', '時'))",416
시간,hour,時間,"('시간', '時間')","('시', '時')",시,時,15,"(15, ('시', '時'))",416
시청,city hall,市廳,"('시청', '市廳')","('시', '市')",시,市,15,"(15, ('시', '市'))",415
시장,market,市場,"('시장', '市場')","('시', '市')",시,市,15,"(15, ('시', '市'))",415
시내,downtown,市內,"('시내', '市內')","('시', '市')",시,市,15,"(15, ('시', '市'))",415
시월,October,十月,"('시월', '十月')","('시', '十')",시,十,15,"(15, ('시', '十'))",414
택시,taxi,X,"('택시', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
시청역,City Hall Station,X,"('시청역', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
시끄럽다,noisy,X,"('시끄럽다', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
시,o'clock,X,"('시', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
말레이시아,Malaysia,X,"('말레이시아', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
드시다,to eat (honorific),X,"('드시다', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
계시다,to be/to stay (honorific),X,"('계시다', 'X')","('시', 'X')",시,X,15,"(15, ('시', 'X'))",413
화요일,Tuesday,火曜日,"('화요일', '火曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
토요일,Saturday,土曜日,"('토요일', '土曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
일요일,Sunday,日曜日,"('일요일', '日曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
월요일,Monday,月曜日,"('월요일', '月曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
요일,a day of the week,曜日,"('요일', '曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
수요일,Wednesday,水曜日,"('수요일', '水曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
목요일,Thursday,木曜日,"('목요일', '木曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
금요일,Friday,金曜日,"('금요일', '金曜日')","('요', '曜')",요,曜,13,"(13, ('요', '曜'))",412
요리하다,to cook,料理하다,"('요리하다', '料理하다')","('요', '料')",요,料,13,"(13, ('요', '料'))",411
요리사,chef,料理師,"('요리사', '料理師')","('요', '料')",요,料,13,"(13, ('요', '料'))",411
요리,cooking,料理,"('요리', '料理')","('요', '料')",요,料,13,"(13, ('요', '料'))",411
요금,fare charge,料金,"('요금', '料金')","('요', '料')",요,料,13,"(13, ('요', '料'))",411
요즘,these days nowadays,X,"('요즘', 'X')","('요', 'X')",요,X,13,"(13, ('요', 'X'))",410
학생,student,學生,"('학생', '學生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
초등학생,elementary school student,初等學生,"('초등학생', '初等學生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
중학생,middle school student,中學生,"('중학생', '中學生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
여동생,younger sister,女同生,"('여동생', '女同生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
생일,birthday,生日,"('생일', '生日')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
생선회,sliced raw fish,生鮮膾,"('생선회', '生鮮膾')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
생선,fish,生鮮,"('생선', '生鮮')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
동생,younger brother or sister,同生,"('동생', '同生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
대학생,university student,大學生,"('대학생', '大學生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
고등학생,high school student,高等學生,"('고등학생', '高等學生')","('생', '生')",생,生,13,"(13, ('생', '生'))",409
선생님,teacher,X,"('선생님', 'X')","('생', 'X')",생,X,13,"(13, ('생', 'X'))",408
생각,thinking / thought,X,"('생각', 'X')","('생', 'X')",생,X,13,"(13, ('생', 'X'))",408
남동생,younger brother,X,"('남동생', 'X')","('생', 'X')",생,X,13,"(13, ('생', 'X'))",408
주차장,parking lot,駐車場,"('주차장', '駐車場')","('주', '駐')",주,駐,12,"(12, ('주', '駐'))",407
맥주,beer,麥酒,"('맥주', '麥酒')","('주', '酒')",주,酒,12,"(12, ('주', '酒'))",406
주일,week,週日,"('주일', '週日')","('주', '週')",주,週,12,"(12, ('주', '週'))",405
주말,weekend,週末,"('주말', '週末')","('주', '週')",주,週,12,"(12, ('주', '週'))",405
호주,Australia,濠洲,"('호주', '濠洲')","('주', '洲')",주,洲,12,"(12, ('주', '洲'))",404
제주도,Jeju Island,濟州島,"('제주도', '濟州島')","('주', '州')",주,州,12,"(12, ('주', '州'))",403
주소,address,住所,"('주소', '住所')","('주', '住')",주,住,12,"(12, ('주', '住'))",402
자주,often,自主,"('자주', '自主')","('주', '主')",주,主,12,"(12, ('주', '主'))",401
주스,juice,X,"('주스', 'X')","('주', 'X')",주,X,12,"(12, ('주', 'X'))",400
주다,to give,X,"('주다', 'X')","('주', 'X')",주,X,12,"(12, ('주', 'X'))",400
아주,very / quite,X,"('아주', 'X')","('주', 'X')",주,X,12,"(12, ('주', 'X'))",400
도와주다,to help,X,"('도와주다', 'X')","('주', 'X')",주,X,12,"(12, ('주', 'X'))",400
하나,one,X,"('하나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
캐나다,Canada,X,"('캐나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
일어나다,to get up,X,"('일어나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
얼마나,how long,X,"('얼마나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
바나나,banana,X,"('바나나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
바나나,banana,X,"('바나나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
만나다,to meet,X,"('만나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
누나,elder sister from a male perspective,X,"('누나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
나중에,"later, next time",X,"('나중에', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
나쁘다,bad,X,"('나쁘다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
나다,to have (a fever/a runny nose),X,"('나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
끝나다,to be finished,X,"('끝나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",399
자주,often,自主,"('자주', '自主')","('자', '自')",자,自,11,"(11, ('자', '自'))",398
자전거,bicycle,自轉車,"('자전거', '自轉車')","('자', '自')",자,自,11,"(11, ('자', '自'))",398
기자,reporter,記者,"('기자', '記者')","('자', '者')",자,者,11,"(11, ('자', '者'))",397
의자,chair,椅子,"('의자', '椅子')","('자', '子')",자,子,11,"(11, ('자', '子'))",396
여자,woman female,女子,"('여자', '女子')","('자', '子')",자,子,11,"(11, ('자', '子'))",396
모자,hat / cap,帽子,"('모자', '帽子')","('자', '子')",자,子,11,"(11, ('자', '子'))",396
남자,man male,男子,"('남자', '男子')","('자', '子')",자,子,11,"(11, ('자', '子'))",396
혼자,alone,X,"('혼자', 'X')","('자', 'X')",자,X,11,"(11, ('자', 'X'))",395
피자,pizza,X,"('피자', 'X')","('자', 'X')",자,X,11,"(11, ('자', 'X'))",395
자리,seat place,X,"('자리', 'X')","('자', 'X')",자,X,11,"(11, ('자', 'X'))",395
자다,to sleep,X,"('자다', 'X')","('자', 'X')",자,X,11,"(11, ('자', 'X'))",395
전화하다,to call,電話하다,"('전화하다', '電話하다')","('전', '電')",전,電,10,"(10, ('전', '電'))",394
전화번호,telephone number,電話番號,"('전화번호', '電話番號')","('전', '電')",전,電,10,"(10, ('전', '電'))",394
전화,cellular phone | telephone,電話,"('전화', '電話')","('전', '電')",전,電,10,"(10, ('전', '電'))",394
자전거,bicycle,自轉車,"('자전거', '自轉車')","('전', '轉')",전,轉,10,"(10, ('전', '轉'))",393
운전하다,to drive,運轉하다,"('운전하다', '運轉하다')","('전', '轉')",전,轉,10,"(10, ('전', '轉'))",393
운전,driving,運轉,"('운전', '運轉')","('전', '轉')",전,轉,10,"(10, ('전', '轉'))",393
오전,morning / a.m.,午前,"('오전', '午前')","('전', '前')",전,前,10,"(10, ('전', '前'))",392
사전,dictionary,辭典,"('사전', '辭典')","('전', '典')",전,典,10,"(10, ('전', '典'))",391
텔레비전,television,X,"('텔레비전', 'X')","('전', 'X')",전,X,10,"(10, ('전', 'X'))",390
전혀,not at all,X,"('전혀', 'X')","('전', 'X')",전,X,10,"(10, ('전', 'X'))",390
프랑스어,French (language),X,"('프랑스어', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
프랑스,France,X,"('프랑스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
테니스,tennis,X,"('테니스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
주스,juice,X,"('주스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
아이스크림,ice cream,X,"('아이스크림', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
스파게티,spaghetti,X,"('스파게티', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
스키장,ski resort,X,"('스키장', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
스키,skiing,X,"('스키', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
버스,bus,X,"('버스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
뉴스,news,X,"('뉴스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",389
그분,that person (honorific),X,"('그분', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그림,picture / drawing,X,"('그림', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그리다,to draw to paint,X,"('그리다', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그리고,and,X,"('그리고', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그렇지만,but,X,"('그렇지만', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그럼,then / in that case,X,"('그럼', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그런데,but/ by the way,X,"('그런데', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그래서,so,X,"('그래서', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
그거,that (one),X,"('그거', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",388
