hangul_word,English_translation,hanja_word_with_x,hangul_hanja_tuple,hangul_hanja_char_tuple,hangul_seq,hanja_seq,hangul_hanja_tuple_num_parts,hangul_hanja_char_tuple_rank_tuple,hangul_hanja_char_tuple_rank
은행,bank,銀行,"('은행', '銀行')","('행', '行')",행,行,6,"(6, ('행', '行'))",243
여행하다,to travel,旅行하다,"('여행하다', '旅行하다')","('행', '行')",행,行,6,"(6, ('행', '行'))",243
여행사,travel agency,旅行社,"('여행사', '旅行社')","('행', '行')",행,行,6,"(6, ('행', '行'))",243
여행,trip travel,旅行,"('여행', '旅行')","('행', '行')",행,行,6,"(6, ('행', '行'))",243
비행기,airplane,飛行機,"('비행기', '飛行機')","('행', '行')",행,行,6,"(6, ('행', '行'))",243
프랑스어,French (language),X,"('프랑스어', 'X')","('프', 'X')",프,X,6,"(6, ('프', 'X'))",242
프랑스,France,X,"('프랑스', 'X')","('프', 'X')",프,X,6,"(6, ('프', 'X'))",242
아프리카,Africa,X,"('아프리카', 'X')","('프', 'X')",프,X,6,"(6, ('프', 'X'))",242
아프다,to be hurting / ill / in pain / hurt,X,"('아프다', 'X')","('프', 'X')",프,X,6,"(6, ('프', 'X'))",242
슬프다,sad,X,"('슬프다', 'X')","('프', 'X')",프,X,6,"(6, ('프', 'X'))",242
배고프다,hungry,X,"('배고프다', 'X')","('프', 'X')",프,X,6,"(6, ('프', 'X'))",242
치마,skirt,X,"('치마', 'X')","('치', 'X')",치,X,6,"(6, ('치', 'X'))",241
치다,to play / to hit / to strike,X,"('치다', 'X')","('치', 'X')",치,X,6,"(6, ('치', 'X'))",241
부치다,to send / to mail,X,"('부치다', 'X')","('치', 'X')",치,X,6,"(6, ('치', 'X'))",241
다치다,to be hurt,X,"('다치다', 'X')","('치', 'X')",치,X,6,"(6, ('치', 'X'))",241
김치,kimchi,X,"('김치', 'X')","('치', 'X')",치,X,6,"(6, ('치', 'X'))",241
가르치다,to teach,X,"('가르치다', 'X')","('치', 'X')",치,X,6,"(6, ('치', 'X'))",241
오빠,elder brother from a female perspective,X,"('오빠', 'X')","('오', 'X')",오,X,6,"(6, ('오', 'X'))",240
오른쪽,right side,X,"('오른쪽', 'X')","('오', 'X')",오,X,6,"(6, ('오', 'X'))",240
오렌지,orange,X,"('오렌지', 'X')","('오', 'X')",오,X,6,"(6, ('오', 'X'))",240
오다,to come,X,"('오다', 'X')","('오', 'X')",오,X,6,"(6, ('오', 'X'))",240
오늘,today,X,"('오늘', 'X')","('오', 'X')",오,X,6,"(6, ('오', 'X'))",240
오,five,X,"('오', 'X')","('오', 'X')",오,X,6,"(6, ('오', 'X'))",240
하얀색,white,X,"('하얀색', 'X')","('색', 'X')",색,X,6,"(6, ('색', 'X'))",239
파란색,blue,X,"('파란색', 'X')","('색', 'X')",색,X,6,"(6, ('색', 'X'))",239
색,color,X,"('색', 'X')","('색', 'X')",색,X,6,"(6, ('색', 'X'))",239
빨간색,red,X,"('빨간색', 'X')","('색', 'X')",색,X,6,"(6, ('색', 'X'))",239
노란색,yellow,X,"('노란색', 'X')","('색', 'X')",색,X,6,"(6, ('색', 'X'))",239
까만색,black,X,"('까만색', 'X')","('색', 'X')",색,X,6,"(6, ('색', 'X'))",239
청바지,jeans,X,"('청바지', 'X')","('바', 'X')",바,X,6,"(6, ('바', 'X'))",238
바지,trousers pants,X,"('바지', 'X')","('바', 'X')",바,X,6,"(6, ('바', 'X'))",238
바쁘다,busy,X,"('바쁘다', 'X')","('바', 'X')",바,X,6,"(6, ('바', 'X'))",238
바다,sea ocean,X,"('바다', 'X')","('바', 'X')",바,X,6,"(6, ('바', 'X'))",238
바나나,banana,X,"('바나나', 'X')","('바', 'X')",바,X,6,"(6, ('바', 'X'))",238
바꾸다,to change | to exchange,X,"('바꾸다', 'X')","('바', 'X')",바,X,6,"(6, ('바', 'X'))",238
치마,skirt,X,"('치마', 'X')","('마', 'X')",마,X,6,"(6, ('마', 'X'))",237
얼마나,how long,X,"('얼마나', 'X')","('마', 'X')",마,X,6,"(6, ('마', 'X'))",237
