,hangul_char,hanja_char,definitions
171,자,子,"son | child | seed | egg | small thing | 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat | Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4] | ancient Chinese compass point: 0° (north) | subsidiary | subordinate | sub- | "
171,자,子,(noun suffix) | 
172,자,者,"(after a verb or adjective) one who (is) ... | (after a noun) person involved in ... | -er | -ist | (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously) | (used after a term, to mark a pause before defining the term) | (old) (used at the end of a command) | (old) this | "
173,자,自,self | oneself | from | since | naturally | surely | 
174,작,昨,yesterday | 
175,장,場,
176,장,粧,
177,장,薔,
178,장,藏,Tibet | abbr. for Xizang or Tibet Autonomous Region 西藏[Xi1 zang4] | 
178,장,藏,to conceal | to hide away | to harbor | to store | to collect | 
178,장,藏,storehouse | depository | Buddhist or Taoist scripture | 
179,적,籍,surname Ji | 
179,적,籍,book or record | registry | roll | place of one's family or ancestral records | membership | 
180,전,典,canon | law | standard work of scholarship | literary quotation or allusion | ceremony | to be in charge of | to mortgage or pawn | 
181,전,前,front | forward | ahead | first | top (followed by a number) | future | ago | before | BC (e.g. 前293年) | former | formerly | 
182,전,轉,
183,전,電,
184,점,店,inn | shop | store | CL:家[jia1] | 
185,점,點,
186,제,濟,
187,제,題,
188,족,族,"race | nationality | ethnicity | clan | by extension, social group (e.g. office workers 上班族) | "
189,주,主,owner | master | host | individual or party concerned | God | Lord | main | to indicate or signify | trump card (in card games) | 
190,주,住,"to live | to dwell | to stay | to reside | to stop | (suffix indicating firmness, steadiness, or coming to a halt) | "
191,주,州,prefecture | (old) province | (old) administrative division | state (e.g. of US) | oblast (Russia) | canton (Switzerland) | 
192,주,洲,continent | island in a river | 
193,주,週,
194,주,酒,"wine (esp. rice wine) | liquor | spirits | alcoholic beverage | CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1] | "
195,주,駐,
196,중,中,China | Chinese | surname Zhong | 
196,중,中,within | among | in | middle | center | while (doing sth) | during | (dialect) OK | all right | 
196,중,中,"to hit (the mark) | to be hit by | to suffer | to win (a prize, a lottery) | "
197,지,只,only | merely | just | but | 
197,지,只,variant of 只[zhi3] | 
197,지,只,grain that has begun to ripen | 
197,지,只,variant of 只[zhi3] | 
197,지,只,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc | "
198,지,地,"-ly | structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct | "
198,지,地,earth | ground | field | place | land | CL:片[pian4] | 
199,지,紙,
200,지,至,to arrive | most | to | until | 
201,직,職,
202,진,眞,variant of 真[zhen1] | 
203,질,質,
204,차,茶,"tea | tea plant | CL:杯[bei1],壺|壶[hu2] | "
205,차,車,
206,창,窓,
207,채,菜,"dish (type of food) | vegetable | cuisine | CL:盤|盘[pan2],道[dao4] | (coll.) (one's) type | (of one's skills etc) weak | poor | "
208,책,冊,
209,천,川,abbr. for Sichuan Province 四川[Si4 chuan1] in southwest China | 
209,천,川,(bound form) river | creek | plain | an area of level country | 
210,철,鐵,
211,청,廳,
212,청,淸,variant of 清[qing1] | 
213,체,遞,
214,초,初,at first | (at the) beginning | first | junior | basic | 
215,추,秋,surname Qiu | 
215,추,秋,autumn | fall | harvest time | 
215,추,秋,old variant of 秋[qiu1] | 
215,추,秋,see 鞦韆|秋千[qiu1 qian1] | 
216,축,蹴,carefully | to kick | to tread on | to stamp | 
216,축,蹴,variant of 蹴[cu4] | 
217,출,出,"to go out | to come out | to occur | to produce | to go beyond | to rise | to put forth | to happen | (used after a verb to indicate an outward direction or a positive result) | classifier for dramas, plays, operas etc | "
217,출,出,variant of 出[chu1] (classifier for plays or chapters of classical novels) | 
218,친,親,
219,침,寢,
220,타,他,he or him | (used for either sex when the sex is unknown or unimportant) | (used before sb's name for emphasis) | (used as a meaningless mock object) | other | another | 
221,탁,濯,variant of 櫂|棹[zhao4] | 
221,탁,濯,to wash | to cleanse of evil | 
222,태,跆,"to trample, to kick | "
223,토,土,Tu (ethnic group) | surname Tu | 
223,토,土,earth | dust | clay | local | indigenous | crude opium | unsophisticated | one of the eight categories of ancient musical instruments 八音[ba1 yin1] | 
224,투,投,to cast | to send | to throw oneself (into the river etc) | to seek refuge | to place oneself into the hands of | 
225,편,便,plain | informal | suitable | convenient | opportune | to urinate or defecate | equivalent to 就[jiu4]: then | in that case | even if | soon afterwards | 
225,편,便,used in 便宜|便宜[pian2 yi5] | used in 便便[pian2 pian2] | 
226,포,包,surname Bao | 
226,포,包,"to cover | to wrap | to hold | to include | to take charge of | to contract (to or for) | package | wrapper | container | bag | to hold or embrace | bundle | packet | CL:個|个[ge4],隻|只[zhi1] | "
227,포,葡,Portugal | Portuguese | abbr. for 葡萄牙[Pu2 tao2 ya2] | 
227,포,葡,see 葡萄[pu2 tao5] | 
228,표,票,"ticket | ballot | banknote | CL:張|张[zhang1] | person held for ransom | amateur performance of Chinese opera | classifier for groups, batches, business transactions | "
229,표,表,exterior surface | family relationship via females | to show (one's opinion) | a model | a table (listing information) | a form | a meter (measuring sth) | 
229,표,表,wrist or pocket watch | 
230,필,筆,
231,하,下,"down | downwards | below | lower | later | next (week etc) | second (of two parts) | to decline | to go down | to arrive at (a decision, conclusion etc) | measure word to show the frequency of an action | "
232,학,學,
233,한,漢,
234,한,韓,
