,hangul_word,hanja_word_with_x,English_translation
502,넘어지다,X,fall down
503,너무,X,too
504,냉장고,冷藏庫,refrigerator
505,냉면,冷麵,naengmyeon
506,내일,來日,tomorrow
507,내리다,X,to get off
508,내다,X,to pay
509,내,X,my
510,낮다,X,low
511,남편,男便,husband
512,남자,男子,man male
513,남동생,X,younger brother
514,날씨,X,weather
515,나중에,X,"later, next time"
517,나다,X,to have (a fever/a runny nose)
518,끝내다,X,to finish
519,끝나다,X,to be finished
520,꽃,X,flower
521,깎다,X,to discount
522,까만색,X,black
523,김치,X,kimchi
524,김밥,X,gimbap
526,길,X,road / way
527,기타,其他,guitar
528,기침,X,cough
529,기차표,X,train ticket
530,기차,汽車,train
531,기자,記者,reporter
532,기숙사,寄宿舍,dormitory
533,기분,氣分,feeling
534,기다리다,X,to wait
535,금요일,金曜日,Friday
536,극장,劇場,movie theater
537,그분,X,that person (honorific)
538,그림,X,picture / drawing
539,그리다,X,to draw to paint
540,그리고,X,and
541,그렇지만,X,but
542,그럼,X,then / in that case
543,그런데,X,but/ by the way
544,그래서,X,so
545,그거,X,that (one)
546,그,X,that
547,귀,X,ear
548,국적,國籍,nationality
549,구월,九月,September
550,구두,口頭,dress shoes
551,구,X,nine
552,교실,敎室,classroom
553,괜찮다,X,alright
554,과일,X,fruit
555,공항,空港,airport
556,공책,空冊,notebook
557,공원,工員,park
558,공원,公園,park
559,공부하다,X,to study
560,공부,工夫,study / learning
561,공,X,zero
562,고민,苦悶,agony / worry
563,고등학생,高等學生,high school student
564,고기,X,meat
565,계시다,X,to be/to stay (honorific)
566,결혼하다,X,to marry
567,결혼,結婚,marriage
568,걸리다,X,to take (time)
569,걷다,X,to walk
570,건강,健康,health
571,걱정,X,worry / concern
572,개,X,counting unit for general items
573,같이,X,together
574,감기,感氣,cold
575,갈아타다,X,to transfer
576,갈색,褐色,brown
577,간호사,看護師,nurse
578,가족,家族,family
579,가방,街坊,bag
580,가르치다,X,to teach
581,가다,X,to go
582,가게,X,store / shop
